model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs
../../3_emref/emref_21.pdb,-,50,0.573,nan,nan,186.471,186.471,nan,14.352,-,-,-,0.000,326.167,61.593,3.433,0.000,0.000,0.000,0.573,2333.290,0.000,85.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_12.pdb,-,51,0.644,nan,nan,111.477,111.477,nan,26.839,-,-,-,0.000,323.705,61.434,-999999.000,0.000,0.000,0.000,0.644,2328.350,0.000,85.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_41.pdb,-,52,0.828,nan,nan,393.702,393.702,nan,28.909,-,-,-,0.000,322.840,60.912,-999999.000,0.000,0.000,0.000,0.828,2330.900,0.000,83.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_3.pdb,-,53,0.845,nan,nan,370.210,370.210,nan,23.964,-,-,-,0.000,326.778,60.426,22.183,0.000,0.000,0.000,0.845,2335.300,0.000,86.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_20.pdb,-,54,0.903,nan,nan,376.812,376.812,nan,29.374,-,-,-,0.000,322.966,60.553,-999999.000,0.000,0.000,0.000,0.903,2333.360,0.000,85.508,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_59.pdb,-,55,0.950,nan,nan,379.252,379.252,nan,32.029,-,-,-,0.000,320.675,60.301,10.542,0.000,0.000,0.000,0.950,2332.740,0.000,84.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_7.pdb,-,56,0.963,nan,nan,166.830,166.830,nan,21.173,-,-,-,0.000,319.202,60.164,-999999.000,0.000,0.000,0.000,0.963,2330.150,0.000,82.871,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_2.pdb,-,57,0.972,nan,nan,325.087,325.087,nan,29.219,-,-,-,0.000,323.562,60.495,-999999.000,0.000,0.000,0.000,0.972,2333.310,0.000,86.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_55.pdb,-,58,1.054,nan,nan,201.271,201.271,nan,15.523,-,-,-,0.000,326.319,60.421,-999999.000,0.000,0.000,0.000,1.054,2333.460,0.000,84.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_23.pdb,-,59,1.499,nan,nan,397.529,397.529,nan,12.753,-,-,-,0.000,317.808,59.861,-999999.000,0.000,0.000,0.000,1.499,2335.290,0.000,82.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000
../../3_emref/emref_48.pdb,-,60,1.626,nan,nan,360.748,360.748,nan,13.749,-,-,-,0.000,325.942,60.983,-999999.000,0.000,0.000,0.000,1.626,2335.440,0.000,84.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000
