model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../2_flexref/flexref_29.pdb	-	35	9999.664	nan	nan	355.127	355.127	nan	30.081	-	-	-	0.000	3314.080	692.769	-999999.000	0.000	0.000	0.000	-0.326	2267.590	0.000	3246.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_8.pdb	-	36	9999.789	nan	nan	374.128	374.128	nan	22.228	-	-	-	0.000	3313.960	692.288	-999999.000	0.000	0.000	0.000	-0.201	2270.080	0.000	3246.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_14.pdb	-	37	9999.828	nan	nan	135.825	135.825	nan	22.913	-	-	-	0.000	3314.000	692.443	-999999.000	0.000	0.000	0.000	-0.162	2269.600	0.000	3247.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_39.pdb	-	38	9999.857	nan	nan	141.695	141.695	nan	30.186	-	-	-	0.000	3314.040	692.533	-999999.000	0.000	0.000	0.000	-0.133	2269.650	0.000	3246.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_38.pdb	-	39	9999.917	nan	nan	163.208	163.208	nan	29.605	-	-	-	0.000	3314.490	692.197	-999999.000	0.000	0.000	0.000	-0.073	2269.790	0.000	3246.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_33.pdb	-	40	9999.918	nan	nan	359.249	359.249	nan	26.689	-	-	-	0.000	3313.910	692.606	-999999.000	0.000	0.000	0.000	-0.072	2267.580	0.000	3246.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_55.pdb	-	41	9999.995	nan	nan	355.628	355.628	nan	16.024	-	-	-	0.000	3314.390	692.157	-999999.000	0.000	0.000	0.000	0.005	2269.790	0.000	3247.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_12.pdb	-	42	10000.234	nan	nan	340.577	340.577	nan	33.543	-	-	-	0.000	3313.190	690.789	-999999.000	0.000	0.000	0.000	0.244	2263.810	0.000	3246.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_13.pdb	-	43	10000.247	nan	nan	61.346	61.346	nan	29.738	-	-	-	0.000	3313.750	692.294	-999999.000	0.000	0.000	0.000	0.257	2270.750	0.000	3246.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000
../../2_flexref/flexref_43.pdb	-	44	10000.310	nan	nan	210.682	210.682	nan	24.431	-	-	-	0.000	3313.770	692.914	-999999.000	0.000	0.000	0.000	0.320	2269.210	0.000	3247.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000
